song_title,artist_names,artist_ids,song_id
"Requiem In D Minor, K. 626: Sequence: VI. Lacrimosa Dies Illa","['Slovak Philharmonic', 'Jaroslava Horska', 'Vladimir Ruso', 'Peter Mikulas', 'Stefan Klimo', 'Slovak Philharmonic Chorus', 'Jozef Kundlák', 'Magdaléna Hajóssyová', 'Wolfgang Amadeus Mozart']","['2rfkmr5WzRN9D9gAfb2ycd', '6UhWIdPqpOwvdLS2Y9BL92', '4IDQ72Ocuew3E1IybQ9pS7', '59vBfT1r5y1VZ2XhXg2ixg', '1DfbT3a2A9T157dOeKZ7Wy', '5x7Kp2knfxL9XwzQmmHc6P', '7rqISdBrqKEzmMgsIth0v5', '6HVRP4tBi40K1Cw1ZPkhtD', '4NJhFmfw43RLBLjQvxDuRS']",08B8Ki7qlUoT58Zd1trxkl
Hallowen,['yehmoney'],['0DL8bW2YMoBZNku4JInIq7'],08CKsNefw0Bc9Gr1nD5Nj4
"Trust me, i'm an engineer !",['TPM555'],['1fCdwaB6kO332DAWgrQmbA'],08FD7Ig7ajhWiu030Kh7VO
The Batman - Something in the Way - Cover Version,"[""L'Orchestra Cinematique"", 'Alala']","['4m1i53DaEliWzSkSFwqv5W', '60xTPRePNppYh4Ol5esmPA']",08FPeFnRCDlQG3qKzzgELu
Does the sheep count the sheep?,['Daisuke Ishiwatari'],['39iFuwAlYzE7ZbSesE2BXu'],08Hx1yrLo4chjdGjFtOnRk
OSOBLIWOŚĆ - Skeler Remix,"['Kareful', 'Skeler']","['7y4breKexfBWgdyMgHMEHK', '7ks4LdnBvp6HUsmVJiKgsB']",08J1BTEHLKkj89hj4m9dk0
Battlefields,['Zomboy'],['0ycHhPwPvoaO4VGzmMnXGq'],08LKVScHdTYS9LfwWohVgR
He's a Pirate,['Klaus Badelt'],['03GruNQP8X25PCoWzdvIGZ'],08QaHlMPWuO5PUxjl61bXn
Drying Ears Off,['Jellybean Green ASMR'],['5MzEMEzPVEI2U5dY4sd0Zm'],08jSo3MBeMb8Txo43DsPJh
Disturbed Lines,['LudoWic'],['4iH5e8eV3hGNCzhFwr1cND'],091S5wJjVayIjdprVEfH2i
Hot 16 challenge 2,['popiół to kot'],['6Jp92LpLedWW4faZ9EF1ci'],0924DBsE9Zuoq11DuFQtCU
Crazy In Love (Beyonce ft. Jay-Z) - Karaoke Version,['Starlite Karaoke'],['66BZN51PJ5k6bam5jpNCTF'],093pgg3k5xpZRpS5NKesyU
Thelema,['Øfdream'],['70P3LvwslDBQicUfL2Ix02'],098PU9y0wA153H6UI36uMy
Kaseta,"['Maple Syrup', 'Dezi-Belle']","['18hiqhddMloGWzY8pNZ8qr', '7kiiO7qyA1Qe3WXJnc4eCy']",09904dONnOLQA5le7sY9nU
Dance of the Damned,['Peter Gundry'],['0HCkZtmMJLvUyWT5m0ojBX'],09DTiTZKjUYpIhi9FkpoY2
Hello,['Aweminus'],['3sS9RKjrDJMl7zpG3cWHk7'],09MIHbDYSGQTsnagdnFttn
ريمكس - خطر شرب اتسطل وعمل بطل (حوده بندق) الكومندا ميرو,['Elkomnda Mero'],['2M0MY4QqV5IEWVbeo1EqVC'],09RZh4JeSQUur8aRMHXgZP
La tine și la bani - Remix,"['Electro Manele', 'rares', 'Bogdan DLP']","['5u0qcACskiw6ZyEpkExeLZ', '6Lovpq3UamSOdAbcQAqbz9', '2MiJmNQKPgwLZMr35cVqtq']",09XH48MBaBN92vd8HtNjhK
Полюби меня,['unknown.beat'],['7CaLTQisynGperRTfWOSUM'],09i6z7TlDeLKX3n5t6ubul
Al Khuttar,['Tribe of Monsters'],['6ZBkSEQim7hD4OpsvDuCh3'],09kVINtCtGB9sCnhnL6YpA
CARBURADO,"['Pary!', 'Kay Flacko']","['6tuzKvEOnCUQhDzoSAS41w', '64HNKymxDLX0Nud6PveTAF']",09tIOoRadobdcQ3W1NbToE
A Little Warmth,['Tobias Lilja'],['7tOyGdC9yAlKjbGHGInb1g'],09xdAI3fYZlFiSv8aRG0yQ
Іде дощ - Remix,"['XSERGO', 'DAYTON']","['3JoCMVpwtvisQbjPjBxUOm', '0jvjWPwqLR7HfqQPDzFc6g']",09ygrBGtzLKzOBLSQUmuiP
Introspectre,"['Depeche Mode', 'Steve Fitzmaurice']","['762310PdDnwsDxAQxzQkfX', '5jeYVkZ5F8orMysIIFNtOY']",0A6GqAm1UHZx1g81wJspVa
i'm tired of feeling this way,['Elijah Who'],['2b0aKuno01NxPWVCUVIEc8'],0A6dTlWYD2magT5bqUyZLM
Sandstorm,['Freejak'],['3bhHEBJ3RJGTyOGp0KIB11'],0ACTjicmzIcZZrG2DVXemO
Don't Wanna Fall in Love (Originally Performed by Jane Child) [Instrumental],['Musical Creations Karaoke'],['1Lc0W6fVtIyzVXEOV6BbYi'],0ADzpK085WZqP9oPEX7oj7
Badigart Paris,['Camfrog Sönmez'],['7E2SNfdXHUJ5fSMz4Kh1gN'],0AHOM1Kg1uPeI3jKnORbZr
